quantity;artist;album;genre;preis;monat;
1;Undergang;Døden Læger Alle Sår;Death Metal;CHF 30;Jun 20;
1;Living Gate;Death Lust;Death Metal;CHF 20;Jul 20;
1;Cryptworm;Reeking Gunk Of Abhorrence;Death Metal;CHF 20;Jul 20;
1;Prenelith;Desolate Endscape;Death Metal;CHF 20;Jul 20;
1;Division of Mind;Division of Mind;Hardcore;CHF 20;Jul 20;
1;Mindforce;Swinging Swords, Choppin' Lords;Crossover;CHF 20;Jul 20;
1;Mindforce;Excalibur;Crossover;CHF 25;Jul 20;
0;Vomit Forth;Northeastern Deprivation;Death Metal;CHF 25;Jul 20;
1;Undergang;Indhentet Af Døden;Death Metal;CHF 20;Aug 20;
1;Undergang;Misantropologi;Death Metal;CHF 20;Aug 20;
1;Faceless Burial;Speciation;Death Metal;CHF 20;Aug 20;
1;Year of the Knife;Internal Incarceration;Hardcore;CHF 25;Aug 20;
1;Jesus Piece;Only Self;Hardcore;CHF 20;Aug 20;
1;Sanity Control;War On Life;Crossover;CHF 20;Aug 20;
1;Iron Reagan;Crossover Ministry;Crossover;CHF 55;Sep 20;
1;Iron Reagan / Gatecreeper;s/t;Crossover;CHF 45;Sep 20;
1;Power Trip;Nightmare Logic;Crossover;CHF 60;Sep 20;
1;Power Trip;Manifest Decimation;Crossover;CHF 55;Sep 20;
1;Pain of Truth;No Blame … Just Facts;Hardcore;CHF 15;Sep 20;
1;Skeletal Remains;The Entombment Of Chaos;Death Metal;CHF 25;Sep 20;
1;Necrot;Mortal;Death Metal;CHF 20;Sep 20;
